,id,key,name,description,type,isSystem,attrs,projectId,createdAt,updatedAt,creator,updater
22,4PKQB09E,paySPUSuccess,商品支付成功,商品支付成功次数。用户支付成功时触发，一个订单中每种商品发送一次事件。例如一个订单中购买了2个A，3个B，4个C，发送3次Pay SPU Success事件,counter,False,"[{'id': 'nPNLvD9W', 'name': '购买数量', 'associatedAt': 1550836745516, 'key': 'buyQuantity_var', 'type': 'Int', 'projectId': 'z98jGyZP', 'createdAt': 1550822373000, 'updatedAt': 1550822373000}, {'id': '4PYngMoM', 'name': '订单ID', 'associatedAt': 1550836745516, 'key': 'orderId_var', 'type': 'String', 'projectId': 'z98jGyZP', 'createdAt': 1550822373000, 'updatedAt': 1550822373000}, {'id': 'QReW6joq', 'name': '支付金额', 'associatedAt': 1550836745516, 'key': 'payAmount_var', 'type': 'Double', 'projectId': 'z98jGyZP', 'createdAt': 1550822373000, 'updatedAt': 1550822373000}, {'id': 'nRb8pdo3', 'name': '支付方式', 'associatedAt': 1550836745516, 'key': 'paymentMethod_var', 'type': 'String', 'projectId': 'z98jGyZP', 'createdAt': 1550822373000, 'updatedAt': 1567753005000}, {'id': 'xogn7BPm', 'name': '商品ID', 'associatedAt': 1550836745516, 'key': 'productId_var', 'type': 'String', 'projectId': 'z98jGyZP', 'createdAt': 1550822220000, 'updatedAt': 1550822220000}, {'id': 'xRxNjXo5', 'name': '商品名称 (1)', 'associatedAt': 1550836745516, 'key': 'productName_var', 'type': 'String', 'projectId': 'z98jGyZP', 'createdAt': 1550822372000, 'updatedAt': 1550822372000}]",z98jGyZP,1550836745000,1561019294000,王颖,王颖
23,woV4q2R2,paySKUSuccess,SKU支付成功,SKU支付成功的次数,counter,False,"[{'id': 'nPNLvD9W', 'name': '购买数量', 'associatedAt': 1553313504251, 'key': 'buyQuantity_var', 'type': 'Int', 'projectId': 'z98jGyZP', 'createdAt': 1550822373000, 'updatedAt': 1550822373000}, {'id': 'xogWjNom', 'name': '商品名称', 'associatedAt': 1553313504251, 'key': 'goodsName_var', 'type': 'String', 'projectId': 'z98jGyZP', 'createdAt': 1559294410000, 'updatedAt': 1559294410000}, {'id': 'QReW6joq', 'name': '支付金额', 'associatedAt': 1554722499579, 'key': 'payAmount_var', 'type': 'Double', 'projectId': 'z98jGyZP', 'createdAt': 1550822373000, 'updatedAt': 1550822373000}]",z98jGyZP,1559294410000,1559294410000,倪顺超,倪顺超
24,EoZM4WPk,paySPU,商品支付,"支付商品次数。
用户点击支付订单时触发，一个订单中每种商品发送一次事件。例如一个订单中购买了2个A，3个B，4个C，发送3次Pay SPU事件",counter,False,"[{'id': 'nPNLvD9W', 'name': '购买数量', 'associatedAt': 1550836994173, 'key': 'buyQuantity_var', 'type': 'Int', 'projectId': 'z98jGyZP', 'createdAt': 1550822373000, 'updatedAt': 1550822373000}, {'id': '4PYngMoM', 'name': '订单ID', 'associatedAt': 1550836994173, 'key': 'orderId_var', 'type': 'String', 'projectId': 'z98jGyZP', 'createdAt': 1550822373000, 'updatedAt': 1550822373000}, {'id': 'QReW6joq', 'name': '支付金额', 'associatedAt': 1550836994173, 'key': 'payAmount_var', 'type': 'Double', 'projectId': 'z98jGyZP', 'createdAt': 1550822373000, 'updatedAt': 1550822373000}, {'id': 'nRb8pdo3', 'name': '支付方式', 'associatedAt': 1550836994173, 'key': 'paymentMethod_var', 'type': 'String', 'projectId': 'z98jGyZP', 'createdAt': 1550822373000, 'updatedAt': 1567753005000}, {'id': 'xogn7BPm', 'name': '商品ID', 'associatedAt': 1550836994173, 'key': 'productId_var', 'type': 'String', 'projectId': 'z98jGyZP', 'createdAt': 1550822220000, 'updatedAt': 1550822220000}, {'id': 'xRxNjXo5', 'name': '商品名称 (1)', 'associatedAt': 1550836994173, 'key': 'productName_var', 'type': 'String', 'projectId': 'z98jGyZP', 'createdAt': 1550822372000, 'updatedAt': 1550822372000}]",z98jGyZP,1550836994000,1550836994000,王颖,王颖
25,AovZW0oz,checkOut,订单结算,点击Check Out时触发,counter,False,"[{'id': 'nPNLvD9W', 'name': '购买数量', 'associatedAt': 1550836745053, 'key': 'buyQuantity_var', 'type': 'Int', 'projectId': 'z98jGyZP', 'createdAt': 1550822373000, 'updatedAt': 1550822373000}, {'id': 'QReW6joq', 'name': '支付金额', 'associatedAt': 1550836745053, 'key': 'payAmount_var', 'type': 'Double', 'projectId': 'z98jGyZP', 'createdAt': 1550822373000, 'updatedAt': 1550822373000}, {'id': 'xogn7BPm', 'name': '商品ID', 'associatedAt': 1550836745053, 'key': 'productId_var', 'type': 'String', 'projectId': 'z98jGyZP', 'createdAt': 1550822220000, 'updatedAt': 1550822220000}, {'id': 'xRxNjXo5', 'name': '商品名称 (1)', 'associatedAt': 1550836745053, 'key': 'productName_var', 'type': 'String', 'projectId': 'z98jGyZP', 'createdAt': 1550822372000, 'updatedAt': 1550822372000}]",z98jGyZP,1550836745000,1550836745000,王颖,王颖
26,GPnZJpPY,shareActivity,分享成功,分享成功时触发,counter,False,"[{'id': 'woVn2do2', 'name': '分享渠道', 'associatedAt': 1550836745643, 'key': 'sharechannel', 'type': 'String', 'projectId': 'z98jGyZP', 'createdAt': 1550822373000, 'updatedAt': 1550822373000}]",z98jGyZP,1550836745000,1550836745000,王颖,王颖
27,QRe8JK9q,searchResultView,搜索有结果次数,用户搜索后返回结果是有搜索结果,counter,False,"[{'id': 'a9amer9B', 'name': '搜索词', 'associatedAt': 1550836744399, 'key': 'searchWord_var', 'type': 'String', 'projectId': 'z98jGyZP', 'createdAt': 1550822372000, 'updatedAt': 1550822372000}]",z98jGyZP,1550836744000,1550836744000,王颖,王颖
28,1P6b7KPd,addToCart,加入购物车 (1),加入购物车次数,counter,False,"[{'id': 'nPNLvD9W', 'name': '购买数量', 'associatedAt': 1550836744926, 'key': 'buyQuantity_var', 'type': 'Int', 'projectId': 'z98jGyZP', 'createdAt': 1550822373000, 'updatedAt': 1550822373000}, {'id': 'xogn7BPm', 'name': '商品ID', 'associatedAt': 1550836744926, 'key': 'productId_var', 'type': 'String', 'projectId': 'z98jGyZP', 'createdAt': 1550822220000, 'updatedAt': 1550822220000}, {'id': 'xRxNjXo5', 'name': '商品名称 (1)', 'associatedAt': 1550836744926, 'key': 'productName_var', 'type': 'String', 'projectId': 'z98jGyZP', 'createdAt': 1550822372000, 'updatedAt': 1550822372000}]",z98jGyZP,1550836744000,1550836744000,王颖,王颖
29,a9BQVLon,listingPageGoodsClick,商品分类页面商品点击,商品分类listing页面的商品点击,counter,False,"[{'id': 'xogn7BPm', 'name': '商品ID', 'associatedAt': 1550836744149, 'key': 'productId_var', 'type': 'String', 'projectId': 'z98jGyZP', 'createdAt': 1550822220000, 'updatedAt': 1550822220000}, {'id': 'xRxNjXo5', 'name': '商品名称 (1)', 'associatedAt': 1550836744149, 'key': 'productName_var', 'type': 'String', 'projectId': 'z98jGyZP', 'createdAt': 1550822372000, 'updatedAt': 1550822372000}]",z98jGyZP,1550836744000,1550836744000,王颖,王颖
30,nomWJMRz,searchResultClick,搜索结果点击,点击搜索结果,counter,False,"[{'id': 'xogn7BPm', 'name': '商品ID', 'associatedAt': 1550836744672, 'key': 'productId_var', 'type': 'String', 'projectId': 'z98jGyZP', 'createdAt': 1550822220000, 'updatedAt': 1550822220000}, {'id': 'xRxNjXo5', 'name': '商品名称 (1)', 'associatedAt': 1550836744672, 'key': 'productName_var', 'type': 'String', 'projectId': 'z98jGyZP', 'createdAt': 1550822372000, 'updatedAt': 1550822372000}, {'id': 'a9amer9B', 'name': '搜索词', 'associatedAt': 1550836744672, 'key': 'searchWord_var', 'type': 'String', 'projectId': 'z98jGyZP', 'createdAt': 1550822372000, 'updatedAt': 1550822372000}]",z98jGyZP,1550836744000,1550836744000,王颖,王颖
31,nRbwJnP3,searchGoods,用户发起搜索,用户在搜索栏发起商品搜索,counter,False,"[{'id': 'a9amer9B', 'name': '搜索词', 'associatedAt': 1550836744280, 'key': 'searchWord_var', 'type': 'String', 'projectId': 'z98jGyZP', 'createdAt': 1550822372000, 'updatedAt': 1550822372000}]",z98jGyZP,1550836744000,1550836744000,王颖,王颖
32,nPNMKlRW,homePageGoodsImp,首页商品曝光,首页商品曝光次数,counter,False,"[{'id': 'noqVWv9k', 'name': '流量位', 'associatedAt': 1550836743850, 'key': 'floor_var', 'type': 'String', 'projectId': 'z98jGyZP', 'createdAt': 1550822372000, 'updatedAt': 1550822372000}, {'id': 'xogn7BPm', 'name': '商品ID', 'associatedAt': 1550836743850, 'key': 'productId_var', 'type': 'String', 'projectId': 'z98jGyZP', 'createdAt': 1550822220000, 'updatedAt': 1550822220000}, {'id': 'xRxNjXo5', 'name': '商品名称 (1)', 'associatedAt': 1550836743850, 'key': 'productName_var', 'type': 'String', 'projectId': 'z98jGyZP', 'createdAt': 1550822372000, 'updatedAt': 1550822372000}]",z98jGyZP,1550836743000,1550836743000,王颖,王颖
33,4PYMELPM,homePageGoodsClick,首页商品点击,首页商品点击,counter,False,"[{'id': 'noqVWv9k', 'name': '流量位', 'associatedAt': 1550836743986, 'key': 'floor_var', 'type': 'String', 'projectId': 'z98jGyZP', 'createdAt': 1550822372000, 'updatedAt': 1550822372000}, {'id': 'xogn7BPm', 'name': '商品ID', 'associatedAt': 1550836743986, 'key': 'productId_var', 'type': 'String', 'projectId': 'z98jGyZP', 'createdAt': 1550822220000, 'updatedAt': 1550822220000}, {'id': 'xRxNjXo5', 'name': '商品名称 (1)', 'associatedAt': 1550836743986, 'key': 'productName_var', 'type': 'String', 'projectId': 'z98jGyZP', 'createdAt': 1550822372000, 'updatedAt': 1550822372000}]",z98jGyZP,1550836743000,1550836743000,王颖,王颖
